,namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_sponsored_colonizer,sn_strike_cruiser,sn_titan,sn_transport,sn_xl_cannon
968,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulding,,,,,,,,,,,,,,,,,,,,Vortigern,,Strenuous,,,,Vortigern,,,,,,,,,,,,,
969,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donaldson,,,,,,,,,,,,,,,,,,,,Voyager,,Stronghold,,,,Voyager,,,,,,,,,,,,,
970,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDonald,,,,,,,,,,,,,,,,,,,,Wakeful,,Sturdy,,,,Wakeful,,,,,,,,,,,,,
971,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Donald,,,,,,,,,,,,,,,,,,,,Walker,,Sardonyx,,,,Walker,,,,,,,,,,,,,
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kidder,,,,,,,,,,,,,,,,,,,,Walpole,,Saturn,,,,Walpole,,,,,,,,,,,,,
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ragan,,,,,,,,,,,,,,,,,,,,Walrus,,Sycamore,,,,Walrus,,,,,,,,,,,,,
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Vallette",,,,,,,,,,,,,,,,,,,,Warwick,,Sportive,,,,Warwick,,,,,,,,,,,,,
975,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamson,,,,,,,,,,,,,,,,,,,,Watchman,,Stalwart,,,,Watchman,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lardner,,,,,,,,,,,,,,,,,,,,Waterhen,,Tilbury,,,,Waterhen,,,,,,,,,,,,,
977,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laub,,,,,,,,,,,,,,,,,,,,Wessex,,Tintagel,,,,Wessex,,,,,,,,,,,,,
978,,,,,,,,,,,,,,,,,,,,,,,,,,,,Litchfield,,,,,,,,,,,,,,,,,,,,Westcott,,Trojan,,,,Westcott,,,,,,,,,,,,,
979,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long,,,,,,,,,,,,,,,,,,,,Westminster,,Truant,,,,Westminster,,,,,,,,,,,,,
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,MacLeish,,,,,,,,,,,,,,,,,,,,Whirlwind,,Trusty,,,,Whirlwind,,,,,,,,,,,,,
981,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus,,,,,,,,,,,,,,,,,,,,Whitley,,Speedy,,,,Whitley,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCalla,,,,,,,,,,,,,,,,,,,,Winchelsea,,Tobago,,,,Winchelsea,,,,,,,,,,,,,
983,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCawley,,,,,,,,,,,,,,,,,,,,Winchester,,Torbay,,,,Winchester,,,,,,,,,,,,,
984,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crowley,,,,,,,,,,,,,,,,,,,,Windsor,,Toreador,,,,Windsor,,,,,,,,,,,,,
985,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crawley,,,,,,,,,,,,,,,,,,,,Wolfhound,,Tourmaline,,,,Wolfhound,,,,,,,,,,,,,
986,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCrowley,,,,,,,,,,,,,,,,,,,,Wrestler,,Torch,,,,Wrestler,,,,,,,,,,,,,
987,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCrawley,,,,,,,,,,,,,,,,,,,,Wryneck,,Tomahawk,,,,Wryneck,,,,,,,,,,,,,
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Crowley,,,,,,,,,,,,,,,,,,,,Wayfarer,,Tryphon,,,,Wayfarer,,,,,,,,,,,,,
989,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Crawley,,,,,,,,,,,,,,,,,,,,Woodpecker,,Tumult,,,,Woodpecker,,,,,,,,,,,,,
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCook,,,,,,,,,,,,,,,,,,,,Viceroy,,Turquoise,,,,Viceroy,,,,,,,,,,,,,
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Cook,,,,,,,,,,,,,,,,,,,,Viscount,,Tuscan,,,,Viscount,,,,,,,,,,,,,
992,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flanders,,,,,,,,,,,,,,,,,,,,Wolsey,,Tyrian,,,,Wolsey,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDermut,,,,,,,,,,,,,,,,,,,,Woolston,,Talisman,,,,Woolston,,,,,,,,,,,,,
994,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dermut,,,,,,,,,,,,,,,,,,,,Wishart,,Termagant,,,,Wishart,,,,,,,,,,,,,
995,,,,,,,,,,,,,,,,,,,,,,,,,,,,McFarland,,,,,,,,,,,,,,,,,,,,Witch,,Trident,,,,Witch,,,,,,,,,,,,,
996,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farland,,,,,,,,,,,,,,,,,,,,Vansittart,,Valentine,,,,Vansittart,,,,,,,,,,,,,
997,,,,,,,,,,,,,,,,,,,,,,,,,,,,McLanahan,,,,,,,,,,,,,,,,,,,,Vantage,,Valhalla,,,,Vantage,,,,,,,,,,,,,
998,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenant,,,,,,,,,,,,,,,,,,,,Venomous,,Valkyrie,,,,Venomous,,,,,,,,,,,,,
999,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meade,,,,,,,,,,,,,,,,,,,,Verity,,Valorous,,,,Verity,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dafoe,,,,,,,,,,,,,,,,,,,,Volunteer,,Vampire,,,,Volunteer,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melvin,,,,,,,,,,,,,,,,,,,,Votary,,Vancouver,,,,Votary,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mervine,,,,,,,,,,,,,,,,,,,,Wanderer,,Vanessa,,,,Wanderer,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moody,,,,,,,,,,,,,,,,,,,,Warren,,Vanity,,,,Warren,,,,,,,,,,,,,
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mullany,,,,,,,,,,,,,,,,,,,,Welcome,,Vanoc,,,,Welcome,,,,,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noa,,,,,,,,,,,,,,,,,,,,Welfare,,Vanquisher,,,,Welfare,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osborne,,,,,,,,,,,,,,,,,,,,Whitehall,,Vectis,,,,Whitehall,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osbourne,,,,,,,,,,,,,,,,,,,,Whitehead,,Vega,,,,Whitehead,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourne,,,,,,,,,,,,,,,,,,,,Wren,,Vehement,,,,Wren,,,,,,,,,,,,,
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miles,,,,,,,,,,,,,,,,,,,,Wye,,Vendetta,,,,Wye,,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overton,,,,,,,,,,,,,,,,,,,,Vashon,,Venetia,,,,Vashon,,,,,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parrott,,,,,,,,,,,,,,,,,,,,Vengeful,,Venturous,,,,Vengeful,,,,,,,,,,,,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peary,,,,,,,,,,,,,,,,,,,,Veteran,,Verdun,,,,Veteran,,,,,,,,,,,,,
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percival,,,,,,,,,,,,,,,,,,,,Vigo,,Versatile,,,,Vigo,,,,,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pillsbury,,,,,,,,,,,,,,,,,,,,Vigorous,,Verulam,,,,Vigorous,,,,,,,,,,,,,
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pope,,,,,,,,,,,,,,,,,,,,Virulent,,Vesper,,,,Virulent,,,,,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garvey,,,,,,,,,,,,,,,,,,,,Volage,,Vidette,,,,Volage,,,,,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pruitt,,,,,,,,,,,,,,,,,,,,Volcano,,Vimiera,,,,Volcano,,,,,,,,,,,,,
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Putnam,,,,,,,,,,,,,,,,,,,,Wager,,Violent,,,,Wager,,,,,,,,,,,,,
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reno,,,,,,,,,,,,,,,,,,,,Wake,,Vittoria,,,,Wake,,,,,,,,,,,,,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,James,,,,,,,,,,,,,,,,,,,,Waldegrave,,Vivacious,,,,Waldegrave,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satterlee,,,,,,,,,,,,,,,,,,,,Walton,,Vivien,,,,Walton,,,,,,,,,,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selfridge,,,,,,,,,,,,,,,,,,,,Whitaker,,Vortigern,,,,Whitaker,,,,,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semmes,,,,,,,,,,,,,,,,,,,,Watson,,Voyager,,,,Watson,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharkey,,,,,,,,,,,,,,,,,,,,Wave,,Wakeful,,,,Wave,,,,,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shirk,,,,,,,,,,,,,,,,,,,,Weazel,,Walker,,,,Weazel,,,,,,,,,,,,,
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shubrick,,,,,,,,,,,,,,,,,,,,"White Bear",,Walpole,,,,"White Bear",,,,,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicard,,,,,,,,,,,,,,,,,,,,Wellesley,,Walrus,,,,Wellesley,,,,,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sloat,,,,,,,,,,,,,,,,,,,,Wheeler,,Warwick,,,,Wheeler,,,,,,,,,,,,,
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somers,,,,,,,,,,,,,,,,,,,,Whip,,Watchman,,,,Whip,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southard,,,,,,,,,,,,,,,,,,,,Whippet,,Waterhen,,,,Whippet,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stoddert,,,,,,,,,,,,,,,,,,,,Whelp,,Wessex,,,,Whelp,,,,,,,,,,,,,
1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sturtevant,,,,,,,,,,,,,,,,,,,,Whitshed,,Westcott,,,,Whitshed,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumner,,,,,,,,,,,,,,,,,,,,"Wild Swan",,Westminster,,,,"Wild Swan",,,,,,,,,,,,,
1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swasey,,,,,,,,,,,,,,,,,,,,Willoughby,,Whirlwind,,,,Willoughby,,,,,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tingey,,,,,,,,,,,,,,,,,,,,Winter,,Whitley,,,,Winter,,,,,,,,,,,,,
1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toucey,,,,,,,,,,,,,,,,,,,,Witherington,,Winchelsea,,,,Witherington,,,,,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracy,,,,,,,,,,,,,,,,,,,,Wivern,,Winchester,,,,Wivern,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trever,,,,,,,,,,,,,,,,,,,,Worcester,,Windsor,,,,Worcester,,,,,,,,,,,,,
1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welles,,,,,,,,,,,,,,,,,,,,Wrangler,,Wolfhound,,,,Wrangler,,,,,,,,,,,,,
1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxwell,,,,,,,,,,,,,,,,,,,,Werewolf,,Wrestler,,,,Werewolf,,,,,,,,,,,,,
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodbury,,,,,,,,,,,,,,,,,,,,Westphal,,Wryneck,,,,Westphal,,,,,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worden,,,,,,,,,,,,,,,,,,,,"Westward Ho",,Wayfarer,,,,"Westward Ho",,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarborough,,,,,,,,,,,,,,,,,,,,Yeoman,,Woodpecker,,,,Yeoman,,,,,,,,,,,,,
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zane,,,,,,,,,,,,,,,,,,,,Zealous,,Viceroy,,,,Zealous,,,,,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeilin,,,,,,,,,,,,,,,,,,,,Zodiac,,Viscount,,,,Zodiac,,,,,,,,,,,,,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaghan,,,,,,,,,,,,,,,,,,,,Ballinderry,,Wolsey,,,,Ballinderry,,,,,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aylwin,,,,,,,,,,,,,,,,,,,,Bann,,Woolston,,,,Bann,,,,,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soley,,,,,,,,,,,,,,,,,,,,Dart,,Wishart,,,,Dart,,,,,,,,,,,,,
1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancrum,,,,,,,,,,,,,,,,,,,,Derg,,Witch,,,,Derg,,,,,,,,,,,,,
1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,McRae,,,,,,,,,,,,,,,,,,,,Spey,,Vansittart,,,,Spey,,,,,,,,,,,,,
1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phelps,,,,,,,,,,,,,,,,,,,,Tay,,Vantage,,,,Tay,,,,,,,,,,,,,
1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stowell,,,,,,,,,,,,,,,,,,,,Trent,,Venomous,,,,Trent,,,,,,,,,,,,,
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moffett,,,,,,,,,,,,,,,,,,,,Tweed,,Verity,,,,Tweed,,,,,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balch,,,,,,,,,,,,,,,,,,,,Adur,,Volunteer,,,,Adur,,,,,,,,,,,,,
1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cummings,,,,,,,,,,,,,,,,,,,,Aire,,Votary,,,,Aire,,,,,,,,,,,,,
1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drayton,,,,,,,,,,,,,,,,,,,,Annan,,Wanderer,,,,Annan,,,,,,,,,,,,,
1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conyngham,,,,,,,,,,,,,,,,,,,,Awe,,Warren,,,,Awe,,,,,,,,,,,,,
1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cassin,,,,,,,,,,,,,,,,,,,,Barle,,Welcome,,,,Barle,,,,,,,,,,,,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downes,,,,,,,,,,,,,,,,,,,,Braid,,Welfare,,,,Braid,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cushing,,,,,,,,,,,,,,,,,,,,Cam,,Whitehall,,,,Cam,,,,,,,,,,,,,
1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunlap,,,,,,,,,,,,,,,,,,,,Cuckmere,,Whitehead,,,,Cuckmere,,,,,,,,,,,,,
1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fanning,,,,,,,,,,,,,,,,,,,,Deveron,,Wren,,,,Deveron,,,,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henley,,,,,,,,,,,,,,,,,,,,Dovey,,Wye,,,,Dovey,,,,,,,,,,,,,
1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jarvis,,,,,,,,,,,,,,,,,,,,Evenlode,,Vashon,,,,Evenlode,,,,,,,,,,,,,
1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jouett,,,,,,,,,,,,,,,,,,,,Fal,,Vengeful,,,,Fal,,,,,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benham,,,,,,,,,,,,,,,,,,,,Findhorn,,Veteran,,,,Findhorn,,,,,,,,,,,,,
1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellet,,,,,,,,,,,,,,,,,,,,Frome,,Vigo,,,,Frome,,,,,,,,,,,,,
1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayrant,,,,,,,,,,,,,,,,,,,,Glenarm,,Vigorous,,,,Glenarm,,,,,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trippe,,,,,,,,,,,,,,,,,,,,Halladale,,Virulent,,,,Halladale,,,,,,,,,,,,,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhind,,,,,,,,,,,,,,,,,,,,Helford,,Volage,,,,Helford,,,,,,,,,,,,,
1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colden,,,,,,,,,,,,,,,,,,,,Helmsdale,,Volcano,,,,Helmsdale,,,,,,,,,,,,,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack,,,,,,,,,,,,,,,,,,,,Inver,,Wager,,,,Inver,,,,,,,,,,,,,
1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sims,,,,,,,,,,,,,,,,,,,,Lagan,,Wake,,,,Lagan,,,,,,,,,,,,,
1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammann,,,,,,,,,,,,,,,,,,,,Lochy,,Waldegrave,,,,Lochy,,,,,,,,,,,,,
1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walke,,,,,,,,,,,,,,,,,,,,Lossie,,Walton,,,,Lossie,,,,,,,,,,,,,
1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roe,,,,,,,,,,,,,,,,,,,,Meon,,Whitaker,,,,Meon,,,,,,,,,,,,,
1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asbury,,,,,,,,,,,,,,,,,,,,Monnow,,Watson,,,,Monnow,,,,,,,,,,,,,
1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wainwright,,,,,,,,,,,,,,,,,,,,Mourne,,Wave,,,,Mourne,,,,,,,,,,,,,
1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buck,,,,,,,,,,,,,,,,,,,,Moyola,,Weazel,,,,Moyola,,,,,,,,,,,,,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benson,,,,,,,,,,,,,,,,,,,,Nadder,,"White Bear",,,,Nadder,,,,,,,,,,,,,
1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayo,,,,,,,,,,,,,,,,,,,,Nene,,Wellesley,,,,Nene,,,,,,,,,,,,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodworth,,,,,,,,,,,,,,,,,,,,Odzani,,Wheeler,,,,Odzani,,,,,,,,,,,,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyle,,,,,,,,,,,,,,,,,,,,Parret,,Whip,,,,Parret,,,,,,,,,,,,,
1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frazier,,,,,,,,,,,,,,,,,,,,Plym,,Whippet,,,,Plym,,,,,,,,,,,,,
1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gansevoort,,,,,,,,,,,,,,,,,,,,Shiel,,Whelp,,,,Shiel,,,,,,,,,,,,,
1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gillespie,,,,,,,,,,,,,,,,,,,,Taff,,Whitshed,,,,Taff,,,,,,,,,,,,,
1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hobby,,,,,,,,,,,,,,,,,,,,Tavy,,"Wild Swan",,,,Tavy,,,,,,,,,,,,,
1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kendrick,,,,,,,,,,,,,,,,,,,,Tees,,Willoughby,,,,Tees,,,,,,,,,,,,,
1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,McKendrick,,,,,,,,,,,,,,,,,,,,Teme,,Winter,,,,Teme,,,,,,,,,,,,,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Kendrick,,,,,,,,,,,,,,,,,,,,Torridge,,Witherington,,,,Torridge,,,,,,,,,,,,,
1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nields,,,,,,,,,,,,,,,,,,,,Towy,,Wivern,,,,Towy,,,,,,,,,,,,,
1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordronaux,,,,,,,,,,,,,,,,,,,,Windrush,,Worcester,,,,Windrush,,,,,,,,,,,,,
1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleaves,,,,,,,,,,,,,,,,,,,,Otway,,Wrangler,,,,Otway,,,,,,,,,,,,,
1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niblack,,,,,,,,,,,,,,,,,,,,Oxley,,Werewolf,,,,Oxley,,,,,,,,,,,,,
1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livermore,,,,,,,,,,,,,,,,,,,,Odin,,Westphal,,,,Odin,,,,,,,,,,,,,
1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eberle,,,,,,,,,,,,,,,,,,,,Olympus,,"Westward Ho",,,,Olympus,,,,,,,,,,,,,
1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plunkett,,,,,,,,,,,,,,,,,,,,Oswald,,Yeoman,,,,Oswald,,,,,,,,,,,,,
1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kearny,,,,,,,,,,,,,,,,,,,,Otus,,Zealous,,,,Otus,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travers,,,,,,,,,,,,,,,,,,,,Pandora,,Zodiac,,,,Pandora,,,,,,,,,,,,,
1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grayson,,,,,,,,,,,,,,,,,,,,Perseus,,Ballinderry,,,,Perseus,,,,,,,,,,,,,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monssen,,,,,,,,,,,,,,,,,,,,Poseidon,,Bann,,,,Poseidon,,,,,,,,,,,,,
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edison,,,,,,,,,,,,,,,,,,,,Proteus,,Dart,,,,Proteus,,,,,,,,,,,,,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ericsson,,,,,,,,,,,,,,,,,,,,Rainbow,,Derg,,,,Rainbow,,,,,,,,,,,,,
1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eriksen,,,,,,,,,,,,,,,,,,,,Regent,,Spey,,,,Regent,,,,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mosbey,,,,,,,,,,,,,,,,,,,,Regulus,,Tay,,,,Regulus,,,,,,,,,,,,,
1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aldrin,,,,,,,,,,,,,,,,,,,,Rover,,Trent,,,,Rover,,,,,,,,,,,,,
1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stinson,,,,,,,,,,,,,,,,,,,,Royalist,,Tweed,,,,Royalist,,,,,,,,,,,,,
1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scherbatsky,,,,,,,,,,,,,,,,,,,,Rupert,,Adur,,,,Rupert,,,,,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,McConnell,,,,,,,,,,,,,,,,,,,,Seahorse,,Aire,,,,Seahorse,,,,,,,,,,,,,
1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'Connell,,,,,,,,,,,,,,,,,,,,Sealion,,Annan,,,,Sealion,,,,,,,,,,,,,
1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connell,,,,,,,,,,,,,,,,,,,,Spearfish,,Awe,,,,Spearfish,,,,,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,,,,,,,,,,,,,,,,Sterlet,,Barle,,,,Sterlet,,,,,,,,,,,,,
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellyson,,,,,,,,,,,,,,,,,,,,Safari,,Braid,,,,Safari,,,,,,,,,,,,,
1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hambleton,,,,,,,,,,,,,,,,,,,,Sahib,,Cam,,,,Sahib,,,,,,,,,,,,,
1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodman,,,,,,,,,,,,,,,,,,,,Seadog,,Cuckmere,,,,Seadog,,,,,,,,,,,,,
1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emmons,,,,,,,,,,,,,,,,,,,,Sibyl,,Deveron,,,,Sibyl,,,,,,,,,,,,,
1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macomb,,,,,,,,,,,,,,,,,,,,"Sea Rover",,Dovey,,,,"Sea Rover",,,,,,,,,,,,,
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitch,,,,,,,,,,,,,,,,,,,,"Sea Nymph",,Evenlode,,,,"Sea Nymph",,,,,,,,,,,,,
1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hobson,,,,,,,,,,,,,,,,,,,,Sickle,,Fal,,,,Sickle,,,,,,,,,,,,,
1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansdowne,,,,,,,,,,,,,,,,,,,,Sportsman,,Findhorn,,,,Sportsman,,,,,,,,,,,,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quick,,,,,,,,,,,,,,,,,,,,Stoic,,Frome,,,,Stoic,,,,,,,,,,,,,
1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmick,,,,,,,,,,,,,,,,,,,,Storm,,Glenarm,,,,Storm,,,,,,,,,,,,,
